,date,target,volume,trend_sma_fast,trend_sma_slow,trend_adx,volume_obv,trend_ema_fast,trend_ema_slow,trend_macd,momentum_rsi,trend_aroon_ind
825,2019-03-15,3923.76,21740.061498,3983.9741666666664,4331.801538461538,43.37047827825361,-4417747.686944004,4043.296567614185,4325.167087462283,-281.8705198480984,25.101632927005994,-96.0
826,2019-03-14,3877.12,27048.74853,3978.021666666667,4282.844615384615,43.79463041845781,-4444796.435474005,4017.730941827387,4291.978414316929,-274.2474724895419,23.800488320864787,-96.0
827,2019-03-13,3866.0,24461.008757,3972.1783333333333,4230.117692307692,44.18848597721885,-4469257.444231004,3994.387720007789,4260.42445770086,-266.03673769307125,23.487881558570706,-96.0
828,2019-03-12,3882.73,26921.008622,3963.0574999999994,4180.596923076923,44.625499166109044,-4442336.435609004,3977.2096092373604,4232.44709046376,-255.23748122639972,25.082193831170827,-92.0
829,2019-03-11,3871.61,38066.885705,3951.8574999999996,4135.509230769231,44.53624871033076,-4480403.321314004,3960.9635155085357,4205.7184170960745,-244.75490158753882,24.713579392030283,-84.0
830,2019-03-10,3916.82,23187.561412,3946.015,4093.658076923077,44.35118965950932,-4457215.759902004,3954.172205430299,4184.318534348217,-230.14632891791825,29.265084807324456,-84.0
831,2019-03-09,3943.04,30979.747653,3942.881666666666,4056.9034615384617,43.72255189057762,-4426236.012249004,3952.459558441022,4166.446050322424,-213.98649188140143,31.8387886891704,-80.0
832,2019-03-08,3864.89,34730.366592,3928.0358333333334,4015.837692307692,43.533601802322096,-4460966.378841004,3938.9873186808645,4144.108565113355,-205.1212464324908,28.509198888354234,-96.0
833,2019-03-07,3873.64,26455.257661,3916.211666666666,3978.005,43.358148148941964,-4434511.121180004,3928.9338850376544,4124.07385658644,-195.13997154878598,29.39943686143421,-88.0
834,2019-03-06,3861.84,24775.11883,3905.7141666666666,3967.131153846154,43.394157319954516,-4459286.2400100045,3918.6117488780155,4104.649126468926,-186.03737759091018,28.877197463921632,-96.0
835,2019-03-05,3857.73,32962.536162,3895.4300000000003,3957.661153846154,44.10745928006495,-4492248.776172005,3909.245325973706,4086.3588208045608,-177.11349483085496,28.68605991209263,-96.0
836,2019-03-04,3715.3,34742.84166,3871.206666666667,3942.5969230769233,44.942735602473284,-4526991.617832005,3879.4075835162125,4058.8729822264454,-179.46539871023288,23.00365520178123,-64.0
837,2019-03-03,3807.75,16718.16541,3861.539166666667,3931.2315384615385,45.62444921030336,-4510273.452422005,3868.383339898334,4040.2712798393013,-171.8879399409675,32.36849660171235,-64.0
838,2019-03-02,3819.93,19445.838355,3856.773333333333,3923.2361538461546,46.31018648509378,-4490827.614067005,3860.9289799139747,4023.9497035549084,-163.02072364093374,33.51578842166636,-64.0
839,2019-03-01,3823.0,23174.57217,3853.19,3914.9650000000006,46.621815949963555,-4467653.041897005,3855.093752234902,4009.064540328619,-153.97078809371715,33.820524550771395,-64.0
840,2019-02-28,3813.69,32561.961044,3847.436666666667,3909.7780769230767,47.228298451471474,-4500215.002941006,3848.723944198763,3994.592352156129,-145.8684079573659,33.32172179214527,-64.0
841,2019-02-27,3818.07,31500.995466,3842.9750000000004,3905.2376923076927,48.25969224220741,-4468714.007475005,3844.0079527835687,3981.516622366786,-137.5086695832174,33.81627025726905,-64.0
842,2019-02-26,3809.23,28838.748036,3834.0091666666667,3898.201153846154,49.16196318383751,-4497552.755511005,3838.657498509174,3968.754650339617,-130.09715183044318,33.27977279492602,-64.0
843,2019-02-25,3827.92,38102.966245,3824.415833333334,3891.3515384615384,50.18724301324983,-4459449.789266005,3837.005575661609,3958.322454018164,-121.31687835655521,35.60588089008898,-64.0
844,2019-02-24,3743.56,62224.18689,3814.3050000000003,3881.9911538461533,46.60369243010216,-4521673.976156005,3822.629333252131,3942.414124090893,-119.78479083876209,30.446255036998224,-64.0
845,2019-02-23,4117.76,33657.942883,3834.648333333334,3887.265,43.27610974575075,-4488016.033273005,3868.0340512133416,3955.4027074915675,-87.3686562782259,58.89809364054891,36.0
846,2019-02-22,3962.0,23943.16375,3842.9950000000003,3884.148076923077,40.24745112774349,-4511959.197023005,3882.4903510266736,3955.8913958255253,-73.40104479885167,49.77152358134707,36.0
847,2019-02-21,3937.31,31103.884728,3849.626666666667,3881.1396153846154,37.60124703133955,-4543063.081751005,3890.924143176416,3954.5149961347456,-63.59085295832983,48.488902013152085,35.99999999999999
848,2019-02-20,3969.74,36205.14085,3870.83,3880.4446153846156,35.013675972099136,-4506857.940901005,3903.0496596108133,3955.642774198838,-52.593114588024946,50.30057379561625,36.0
849,2019-02-19,3907.79,50207.172667,3879.1666666666665,3877.623461538462,32.76964871132261,-4557065.113568005,3903.778942747611,3952.098124258184,-48.31918151057289,46.906722226583824,36.0
850,2019-02-18,3898.6,64042.730492,3885.7225,3873.493461538462,32.40481397106996,-4621107.844060006,3902.9821823249013,3948.1353002390592,-45.153117914157974,46.40650613151796,36.0
851,2019-02-17,3667.58,25690.227779,3872.7708333333335,3863.640384615385,32.39355243454661,-4646798.071839006,3866.766461967224,3927.353426147277,-60.586964180052746,36.010426600332465,-24.0
852,2019-02-16,3618.41,19565.992751,3856.4975,3853.69,32.42509857181047,-4666364.064590006,3828.557775510728,3904.4687279141453,-75.91095240341747,34.25166212711861,-28.0
853,2019-02-15,3602.47,20777.872899,3838.530833333333,3843.554230769231,32.6176432477131,-4687141.937489006,3793.77504081677,3882.0984517723564,-88.3234109555865,33.67742523456013,-32.0
854,2019-02-14,3590.56,21753.501261,3820.308333333334,3832.3169230769226,32.8332163728346,-4708895.438750005,3762.5111883834206,3860.50301090033,-97.99182251690945,33.229158093519814,-36.0
855,2019-02-13,3609.4,25773.997648,3802.0983333333334,3822.231923076923,32.40137108504042,-4683121.441102006,3738.955620939818,3841.902787870676,-102.9471669308582,34.70963268045793,-36.0
856,2019-02-12,3631.46,29479.59823,3792.7566666666667,3811.256538461538,32.07847984937592,-4653641.842872006,3722.417833102923,3826.314433213589,-103.89660011066599,36.48544338026834,-35.99999999999999
857,2019-02-11,3631.05,24954.614571,3752.1974999999998,3799.2569230769227,31.51629112368933,-4678596.457443006,3708.361243394781,3811.8504011236937,-103.48915772891269,36.46559185617068,-36.0
858,2019-02-10,3680.06,23250.602634,3728.7025,3792.1480769230766,31.04953963079607,-4655345.854809007,3704.00720594943,3802.0881491886053,-98.08094323917521,40.6243899920229,-36.0
859,2019-02-09,3665.18,24759.833719,3706.025,3784.1303846153846,30.616127530252328,-4680105.688528007,3698.0337896495175,3791.946804804264,-93.91301515474652,39.773150511924314,-36.0
860,2019-02-08,3659.04,47968.058013,3680.133333333333,3776.3303846153844,32.04050292319822,-4728073.7465410065,3692.034745088053,3782.1018563002444,-90.06711121219132,39.40622336579644,-36.0
861,2019-02-07,3398.4,18665.538638,3637.6841666666664,3758.6638461538464,33.36313721664798,-4746739.285179007,3646.8601689206603,3753.6794965743,-106.8193276536399,27.71685246931672,-64.0
862,2019-02-06,3405.37,35310.244846,3596.581666666667,3746.743461538462,33.7189544188661,-4711429.0403330065,3609.707835240559,3727.878793124352,-118.17095788379311,28.329125908193646,-64.0
863,2019-02-05,3471.59,25264.41503,3580.2491666666665,3733.8142307692306,34.04935610664007,-4686164.625303007,3588.458937511242,3708.8944380781036,-120.43550056686172,34.04517582646575,-64.0
